project_id,github_repo,domain,doi,pypi_package,npm_package,stratum,source
horovod,horovod/horovod,hpc,,horovod,,sc26,sc26_corpus
taskflow,taskflow/taskflow,hpc,,,,sc26,sc26_corpus
fluidx3d,projectphysx/fluidx3d,hpc,,,,sc26,sc26_corpus
spack,spack/spack,hpc,,,,sc26,sc26_corpus
thread-pool,bshoshany/thread-pool,hpc,,,,sc26,sc26_corpus
cuda-oxide,nvlabs/cuda-oxide,hpc,,,,sc26,sc26_corpus
blis,flame/blis,hpc,,,,sc26,sc26_corpus
kokkos,kokkos/kokkos,hpc,,,,sc26,sc26_corpus
mfem,mfem/mfem,hpc,10.11578/dc.20171025.1248,,,sc26,sc26_corpus
hermit-rs,hermit-os/hermit-rs,hpc,,,,sc26,sc26_corpus
adaptivecpp,adaptivecpp/adaptivecpp,hpc,,,,sc26,sc26_corpus
nnpack,maratyszcza/nnpack,hpc,,,,sc26,sc26_corpus
dealii,dealii/dealii,hpc,,,,sc26,sc26_corpus
ucx,openucx/ucx,hpc,,,,sc26,sc26_corpus
elmerfem,elmercsc/elmerfem,hpc,10.5281/zenodo.7892181,,,sc26,sc26_corpus
sse2neon,dltcollab/sse2neon,hpc,,,,sc26,sc26_corpus
envpool,sail-sg/envpool,hpc,,envpool,,sc26,sc26_corpus
kernel,hermit-os/kernel,hpc,10.5281/zenodo.18999584,,,sc26,sc26_corpus
arraymancer,mratsim/arraymancer,hpc,,,,sc26,sc26_corpus
trilinos,trilinos/trilinos,hpc,,,,sc26,sc26_corpus
drake,ropensci/drake,hpc,,,,sc26,sc26_corpus
kratos,kratosmultiphysics/kratos,hpc,10.5281/zenodo.15687676,,,sc26,sc26_corpus
targets,ropensci/targets,hpc,10.5281/zenodo.18555866,,,sc26,sc26_corpus
openmc,openmc-dev/openmc,hpc,,,,sc26,sc26_corpus
hdf5,hdfgroup/hdf5,hpc,10.5281/zenodo.21716856,,,sc26,sc26_corpus
faasm,faasm/faasm,hpc,,,,sc26,sc26_corpus
mpi4py,mpi4py/mpi4py,hpc,,mpi4py,,sc26,sc26_corpus
zfp,llnl/zfp,hpc,,,,sc26,sc26_corpus
amgcl,ddemidov/amgcl,hpc,10.5281/zenodo.10048574,,,sc26,sc26_corpus
hypre,hypre-space/hypre,hpc,,,,sc26,sc26_corpus
geant4,geant4/geant4,hpc,,,,sc26,sc26_corpus
gpumd,brucefan1983/gpumd,hpc,,,,sc26,sc26_corpus
